fact_id,fact,source,created_at,notes,fact_category,
04e58638-5f23-4eb5-bc79-7bad041e2dee,A group of frogs is called an army.,,,,Animal Facts,
05fa46eb-5139-44c6-9127-dfad75db4565,"It's illegal to own just one guinea pig in Switzerland. It's considered animal abuse, because they're social beings and get lonely.",https://blogs.loc.gov/law/2021/01/laws-involving-animals-real-and-mythical,,,"Animal Facts, Weird Laws",
0648ab41-b83b-4bbc-bee0-404cb1fe6469,"The unicorn is the national animal of Scotland. It was apparently chosen because of its connection with dominance and chivalry, as well as purity and innocence in Celtic mythology.",https://www.visitscotland.com/things-to-do/attractions/arts-culture/national-animal-unicorn,,"The mythical animal has been a celebrated symbol for centuries, appearing on the Scottish royal coat of arms in the 12th century and on gold coins in the 1600s. According to The Scotsman, one theory on why the Scottish chose the unicorn is that it’s long been regarded as the natural enemy of the lion, which was England’s symbol. Scots value their national animal so much that they designate every April 9th as National Unicorn Day!","Around the Globe, Animal Facts",
08546c25-55d4-46fe-ab7b-ca8141da023b,The shortest commercial flight in the world takes place in Scotland. The journey is just 1.7 miles and takes 90 seconds.,https://edition.cnn.com/travel/article/worlds-shortest-flight-orkney-scotland,,Loganair’s Westray ? Papa Westray route (about 90 seconds).,Around the Globe,
098210f5-0627-4d43-964c-05438b9c03fa,Some cats are allergic to people.,https://articles.hepper.com/could-your-cat-be-allergic-to-you/,,,Animal Facts,
12d6f0db-64ed-4436-befe-08aaf1ab597f,"Ironically, the fear of long words is called Hippopotomonstrosesquippedaliophobia. The 36-letter word was first used in the first century BCE to criticise writers with an unreasonable penchant for long words.",https://www.verywellmind.com/hippopotomonstrosesquipedaliophobia-2671752,,,"Werd Facts, Psychology",
13992a48-ef48-49d4-9c76-d62295c650b8,"In Japan, you can buy square watermelons.",https://www.foodrepublic.com/1401279/expensive-square-watermelon-japan/,,,Around the Globe,
1668b69c-e777-40df-b13b-22fe6a790c07,The iCarly high school set was also used for Saved by the Bell and That's So Raven. That's why it looks so familiar!,https://www.cracked.com/article_46000_tv-show-sets-that-were-recycled-for-other-series.html,,"Rosewood in Pretty Little Liars is repurposed from the fictional town of Stars Hollow, originally built for Gilmore Girls.",Pop Culture,
1e3e8293-39ad-445d-ab28-43a8511f64fa,Cows are able to walk up stairs but cannot walk down the stairs.,https://iere.org/why-cant-cows-walk-downstairs/,,,Animal Facts,
2a2f6bfb-b6ab-4ef2-a57f-ef3753741026,If earth's history were condensed into 24 hours: life would've appeared at 4am; land plants at 10:24pm; dinosaur extinction at 11:41pm; and human history would've begun at 11:58:43pm.,https://funfactz.com/science/earth-history-condensed,,,Science,
2ba8130a-7b1d-4242-9cbe-74da2380c688,Hazelnuts are the official state nut of Oregon.,,,,Around the Globe,
