werd,definition,part_of_speech,pronunciation,origin,language,tags,source_1,source_2,created_by,created_at,is_curated,,,,,,,fact_check_notes
ab invito,Against one's will,phr.,ab in-VEE-toh,,Latin,philosophical,https://www.latin-is-simple.com/en/vocabulary/phrase/17/,,,,n,,,,,,ready_for_import,
abience,The strong urge to avoid someone or something.,n.,AB-ee-uhns,Formed in English,English,psychology,"https://www.vocabulary.com/dictionary/abience#:~:text=Definitions%20of%20abience,a%20situation%20or%20an%20object",,,,n,,,,,,imported,
absquatulate,To leave without saying goodbye,v.,ab-SKWOCH-uh-layt,Formed in American English,English,"humorous,slang",https://www.dictionary.com/browse/absquatulate,,,,n,,,,,,needs_revision,
a contrario,"From the opposite (i.e., on the contrary or au contraire)",phr.,ah kohn-TRAHR-ee-oh,,Latin,philosophical,https://en.wikipedia.org/wiki/List_of_Latin_phrases_(full),https://api.datamuse.com/words?sp=a%20contrario&md=dp&max=1,,,n,,,,,,,
acosmist,One who believes that nothing exists,n.,ay-KOZ-mist,Formed from Greek roots,English,"philosophical,obscure",https://www.britannica.com/topic/acosmism,,,,n,,,,,,,
acrophobia,Fear of heights (also referred to as 'hypsophobia'),n.,ak-ruh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.dictionary.com/browse/acrophobia,,,,n,,,,,,,
"acta, non verba","Deeds, not words",phr.,AHK-tah nohn VEHR-bah,,Latin,philosophical,https://www.latin-is-simple.com/en/vocabulary/phrase/2653/,,,,y,,,,,,,
advocatus diaboli,Devil's advocate,phr.,ad-voh-KAH-toos dee-AH-boh-lee,,Latin,philosophical,,https://en.wikipedia.org/wiki/Devil%27s_advocate#Origin_and_history,,,n,,,,,,,
aerumnous,Full of trouble,adj.,uh-RUM-nuhs,,Latin,"obsolete,trait",https://www.merriam-webster.com/dictionary/aerumnous,,,,y,,,,,,,
agathokakological,Composed of both good and evil,adj.,ag-uh-thuh-kak-uh-LAHJ-uh-kuhl,Formed from Greek roots,English,"philosophical,obscure",https://wordsmith.org/words/agathokakological.html,,,,n,,,,,,,
agoraphobia,Fear of certain inescapable/unsafe situations; fear of closed spaces,n.,ag-uh-ruh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,,,,y,,,,,,,
akrasia,The state of mind in which someone acts against their better judgment through weakness of will; lack of self control,n.,uh-KRAY-zhuh,Adopted from Greek,English,"philosophical,psychology,obscure",https://www.dictionary.com/browse/akrasia,,,,y,,,,,,,
alacrity,Eagerness or willingness to do something,n.,uh-LAK-ruh-tee,Adopted from Latin,English,trait,https://www.dictionary.com/browse/alacrity,,,,y,,,,,,,
allodoxaphobia,Fear of other people’s opinions.,n.,al-uh-DOK-suh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://my.klarity.health/deciphering-allodoxaphobia-the-fear-of-others-opinions/,,,,y,,,,,,,
allure,The quality of being powerfully and mysteriously attractive or fascinating.,n.,uh-LOOR,Adopted from Old French,English,romantic,https://www.merriam-webster.com/dictionary/allure,,,,y,,,,,,,
amenity,A pleasant or agreeable quality,n.,uh-MEN-uh-tee,Adopted from Latin via French,English,trait,https://www.dictionary.com/browse/amenity,,,,y,,,,,,,
anatidaephobia,Fear that a duck is watching you.,n.,an-uh-TID-uh-FOH-bee-uh,Modern coinage from Latin/Greek roots,English,"psychology,humorous,phobia",https://en.wiktionary.org/wiki/anatidaephobia,,,,y,,,,,,,
anaxiphilia,"The act of falling in love with someone entirely inappropriate, by someone who should know better",n.,an-uh-si-FIL-ee-uh,Formed from Greek roots,English,"romantic,obscure",https://interestingliterature.com/2018/04/a-dictionary-of-unusual-and-preposterous-words/,,,,y,,,,,,,
